title,url
The Determinants of Bank Liquid Asset Holdings,https://www.nber.org/papers/w30340
The Benefits and Costs of U.S. Employer COVID-19 Vaccine Mandates,https://www.nber.org/papers/w30339
Climate Change Around the World,https://www.nber.org/papers/w30338
The Macroeconomic Consequences of Natural Rate Shocks: An Empirical Investigation,https://www.nber.org/papers/w30337
Internationalizing Like China,https://www.nber.org/papers/w30336
Lessons from U.S.-China Trade Relations,https://www.nber.org/papers/w30335
Superiority-Seeking and the Preference for Exclusion,https://www.nber.org/papers/w30334
Noisy Foresight,https://www.nber.org/papers/w30333
"Green Energy Jobs in the US: What Are They, and Where Are They?",https://www.nber.org/papers/w30332
"The Returns to College Major Choice: Average and Distributional Effects, Career Trajectories, and Earnings Variability",https://www.nber.org/papers/w30331
Unconventional Monetary Policy According to HANK,https://www.nber.org/papers/w30329
Fiscal Histories,https://www.nber.org/papers/w30328
"Independent Contracting, Self-Employment, and Gig Work: Evidence from California Tax Data",https://www.nber.org/papers/w30327
The Political Economy of the Decline of Antitrust Enforcement in the United States,https://www.nber.org/papers/w30326
Quality Regulation and Competition: Evidence from Pharmaceutical Markets,https://www.nber.org/papers/w30325
China's Financial System and Economy: A Review,https://www.nber.org/papers/w30324
When the Kids Grow Up: Women's Employment and Earnings across the Family Cycle,https://www.nber.org/papers/w30323
The Wage Curve After the Great Recession,https://www.nber.org/papers/w30322
Taxing Externalities: Revenue vs. Welfare Gains with an Application to U.S. Carbon Taxes,https://www.nber.org/papers/w30321
Do Funding Agencies Select and Enable Risky Research: Evidence from ERC Using Novelty as a Proxy of Risk Taking,https://www.nber.org/papers/w30320
Origins of International Factor Structures,https://www.nber.org/papers/w30319
Non-Tariff Barriers in the U.S.-China Trade War,https://www.nber.org/papers/w30318
Globotics and Macroeconomics: Globalisation and Automation of the Service Sector,https://www.nber.org/papers/w30317
Fertility and Labor Market Responses to Reductions in Mortality,https://www.nber.org/papers/w30316
Producing Health: Measuring Value Added of Nursing Homes,https://www.nber.org/papers/w30228
Social Capital II: Determinants of Economic Connectedness,https://www.nber.org/papers/w30314
Social Capital I: Measurement and Associations with Economic Mobility,https://www.nber.org/papers/w30313
The Impact of the Clean Air Act on Particulate Matter in the 1970s.,https://www.nber.org/papers/w30312
"The Race Between Education, Technology, and Institutions",https://www.nber.org/papers/w30311
Screening with Multitasking,https://www.nber.org/papers/w30310
Social Protection and Social Distancing During the Pandemic: Mobile Money Transfers in Ghana,https://www.nber.org/papers/w30309
Still Worth the Trip? School Busing Effects in Boston and New York,https://www.nber.org/papers/w30308
Stigma in Welfare Programs,https://www.nber.org/papers/w30307
Social Media and the Behavior of Politicians: Evidence from Facebook in Brazil,https://www.nber.org/papers/w30306
Macroeconomic Forecasting using Filtered Signals from a Stock Market Cross Section,https://www.nber.org/papers/w30305
The Causal Effects of Youth Cigarette Addiction and Education,https://www.nber.org/papers/w30304
The Effect of Vaccine Mandates on Disease Spread: Evidence from College COVID-19 Mandates,https://www.nber.org/papers/w30303
Long Story Short: Omitted Variable Bias in Causal Machine Learning,https://www.nber.org/papers/w30302
Bringing Them In or Pushing Them Out? The Labor Market Effects of Pro-cyclical Unemployment Assistance Changes,https://www.nber.org/papers/w30301
Precautionary Protectionism,https://www.nber.org/papers/w30300
Covering Undocumented Immigrants: The Effects of a Large-Scale Prenatal Care Intervention,https://www.nber.org/papers/w30299
Labor Misallocation Across Firms and Regions,https://www.nber.org/papers/w30298
Policy Uncertainty in the Market for Coal Electricity: The Case of Air Toxics Standards,https://www.nber.org/papers/w30297
"When is Sovereign Debt Odious? A Theory of Government Repression, Growth Traps, and Growth Boosts",https://www.nber.org/papers/w30296
Rise and Fall of Empires in the Industrial Era: A Story of Shifting Comparative Advantages,https://www.nber.org/papers/w30295
The Distributional Impact of the Minimum Wage in the Short and Long Run,https://www.nber.org/papers/w30294
First Foot Forward: A Two-Step Econometric Method for Parsing and Estimating the Impacts of Multiple Identities,https://www.nber.org/papers/w30293
Help Really Wanted? The Impact of Age Stereotypes in Job Ads on Applications from Older Workers,https://www.nber.org/papers/w30287
How Hybrid Working From Home Works Out,https://www.nber.org/papers/w30292
Simple Tests for Selection: Learning More from Instrumental Variables,https://www.nber.org/papers/w30291
